ID,Group,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
29,F,07-Mar-13,-23.81760358,-56.28804177,219.460495,2013-03-07T10:09:35Z,,,MF07032013,7-mar-2013 07:09-07:11,7-mar-2013 07:09-07:11,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-07T10:09:35Z
30,F,07-Mar-13,-23.81870538,-56.28866413,223.233719,2013-03-07T10:17:13Z,,,MF070320132,7-mar-2013 07:17-07:33,7-mar-2013 07:17-07:33,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-07T10:17:13Z
229,O,07/03/2013,-23.8194683,-56.29157759,192.08078,2013-03-07T11:17:53Z,,,MO07032013,7-mar-2013 07:17-07:33,7-mar-2013 07:17-07:33,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-07T11:17:53Z
36,F,08/03/2013,-23.81771229,-56.28816658,170.992432,2013-03-08T10:01:28Z,,,MF08032013,8-mar-2013 07:01-07:05,8-mar-2013 07:01-07:05,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-08T10:01:28Z
37,F,08/03/2013,-23.81867152,-56.29003105,170.413757,2013-03-08T11:02:01Z,,,MF080320132,8-mar-2013 08:10-08:14,8-mar-2013 08:10-08:14,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-08T11:02:01Z
50,F,12/03/2013,-23.81773115,-56.28851979,194.548706,2013-03-12T11:20:43Z,,,MF12032013,12-mar2013 08:17-08:24,12-mar2013 08:17-08:24,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-12T11:20:43Z
55,F,14/03/2013,-23.81851587,-56.28888507,193.985886,2013-03-14T11:11:50Z,,,MF14032013,14Mar2013 08:10-08:21,14Mar2013 08:10-08:21,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-14T11:11:50Z
56,F,14/03/2013,-23.81825309,-56.29074736,194.485291,2013-03-14T11:03:02Z,,,MF140320132,14Mar2013 08;07-08;09,14Mar2013 08;07-08;09,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-14T11:03:02Z
81,F,20/03/2013,-23.81970601,-56.28838702,201.16243,2013-03-20T21:11:04Z,,,MF20032013,20-Mar2013 18:11-18:18,20-Mar2013 18:11-18:18,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-20T21:11:04Z
90,F,21/03/2013,-23.81796903,-56.28884601,180.02507,2013-03-22T10:17:11Z,,,MF21032013,21Mar2013 07;15-07;18,21Mar2013 07;15-07;18,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-03-22T10:17:11Z
45,F,09/05/2013,-23.817978,-56.29126696,181.958054,2013-05-10T02:20:41Z,,,MF09052013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-05-10T02:20:41Z
46,F,09/05/2013,-23.81830456,-56.29212636,183.36377,2013-05-09T21:47:52Z,,,MF090520132,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-05-09T21:47:52Z
499,O,28/05/2013,-23.831626,-56.29477898,144.999924,2013-05-28T09:39:17Z,,,MO28052013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-05-28T09:39:17Z
328,O,15/06/2013,-23.83245296,-56.29613299,,2013-06-15T19:22:00Z,,,MO150620131,15:22,15:22,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-06-15T19:22:00Z
488,O,27/06/2013,-23.83445196,-56.29992496,176.419754,2013-06-27T13:20:48Z,,,MO270620131,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-06-27T13:20:48Z
526,O,30/06/2013,-23.832373,-56.29512599,192.266861,2013-07-01T00:25:49Z,,,MO300620131,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-07-01T00:25:49Z
491,O,27/08/2013,-23.84245802,-56.29309799,184.074722,2013-08-27T14:17:00Z,,,MO270820131,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-08-27T14:17:00Z
6,F,01-Sep-13,-23.81861829,-56.28451148,,2013-09-01T17:31:33Z,,,MF010920131,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-01T17:31:33Z
159,O,01/09/2013,-23.84235802,-56.29333704,237.512817,2013-09-01T17:48:17Z,,,MO01092013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-01T17:48:17Z
280,O,12/09/2013,-23.83231097,-56.29370802,202.388458,2013-09-12T11:55:54Z,,,MO12092013,CAPS 1A LEFT 12/9/13,CAPS 1A LEFT 12/9/13,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T11:55:54Z
281,O,12/09/2013,-23.82890264,-56.29498668,210.005936,2013-09-12T10:46:01Z,,,MO120920132,CAP TRL9,CAP TRL9,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T10:46:01Z
282,O,12/09/2013,-23.83222396,-56.29504502,200.44371,2013-09-12T12:06:08Z,,,MO120920133,1D,1D,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:06:08Z
283,O,12/09/2013,-23.832345,-56.29582101,198.565033,2013-09-12T12:09:44Z,,,MO120920134,1ESLEEPING SIGHT,1ESLEEPING SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:09:44Z
284,O,12/09/2013,-23.83125661,-56.29318164,206.904785,2013-09-12T12:20:13Z,,,MO120920135,3 SPOTTED FROM 1B,3 SPOTTED FROM 1B,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:20:13Z
16,O,12/09/2013,-23.83222396,-56.29504502,200.44371,2013-09-12T12:06:08Z,,,MO120913,1D,1D,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:06:08Z
17,O,12/09/2013,-23.832345,-56.29582101,198.565033,2013-09-12T12:09:44Z,,,MO120913-2,1ESLEEPING SIGHT,1ESLEEPING SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:09:44Z
18,O,12/09/2013,-23.83136398,-56.29293596,206.904785,2013-09-12T12:20:13Z,,,MO120913-3,3 SPOTTED FROM 1B,3 SPOTTED FROM 1B,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T12:20:13Z
298,O,13/09/2013,-23.83244298,-56.29739497,178.663071,2013-09-13T11:56:15Z,,,MO13092013,TRAIL5 FEEDING TREE,TRAIL5 FEEDING TREE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-13T11:56:15Z
309,O,14/09/2013,-23.83229898,-56.29533897,171.298935,2013-09-14T11:43:25Z,,,MO14092013,1D 1E 14SEPT13,1D 1E 14SEPT13,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-14T11:43:25Z
27,O,14/09/2013,-23.83229898,-56.29533897,171.298935,2013-09-14T11:43:25Z,,,MO140913,1D 1E 14SEPT13,1D 1E 14SEPT13,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-14T11:43:25Z
359,O,17/09/2013,-23.832259,-56.29535004,75.078865,2013-09-17T20:18:45Z,,,MO17092013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-17T20:18:45Z
140,F,30/10/2013,-23.82065434,-56.28763894,219.03508,2013-10-30T10:47:06Z,,,MF30102013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-10-30T10:47:06Z
77,F,19/11/2013,-23.81831956,-56.29227011,241.338898,2013-11-19T18:48:14Z,,,MF19112013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-11-19T18:48:14Z
78,F,19/11/2013,-23.816469,-56.291188,242.819458,2013-11-19T19:39:58Z,,,MF191120132,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-11-19T19:39:58Z
79,F,19/11/2013,-23.81676002,-56.29080503,246.285324,2013-11-19T19:37:11Z,,,MF191120133,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-11-19T19:37:11Z
7,F,02-Dec-13,-23.82086104,-56.28895297,191.787476,2013-12-02T10:22:59Z,,,MF02122013,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-12-02T10:22:59Z
131,O,09/12/2013,-23.83231097,-56.29370802,202.388458,2013-09-12T11:55:54Z,,,MO91213,CAPS 1A LEFT 12/9/13,CAPS 1A LEFT 12/9/13,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-09-12T11:55:54Z
68,O,19/12/2013,-23.83225397,-56.29493999,195.321762,2013-12-19T10:26:26Z,,,MO191213,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2013-12-19T10:26:26Z
80,F,20/02/2014,-23.82176201,-56.290109,216.001694,2014-02-20T14:40:50Z,,,MF200220141,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-02-20T14:40:50Z
69,O,20/02/2014,-23.82175597,-56.29008704,216.612076,2014-02-20T14:51:35Z,,,MO200214,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-02-20T14:51:35Z
25,O,14/04/2014,-23.83223997,-56.29506597,199.394714,2014-06-20T14:55:02Z,,,MO140614,14TH1540,14TH1540,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-20T14:55:02Z
122,O,29/04/2014,-23.83235003,-56.29588002,189.544144,2014-04-29T12:03:17Z,,,MO290414,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-04-29T12:03:17Z
8,O,07/06/2014,-23.831712,-56.29558498,174.977036,2014-06-07T11:11:25Z,,,MO070614,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-07T11:11:25Z
11,O,09/06/2014,-23.83188701,-56.29269096,201.454254,2014-06-09T12:56:42Z,,,MO090614,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-09T12:56:42Z
12,O,09/06/2014,-23.83229898,-56.29263698,209.33992,2014-06-09T11:46:52Z,,,MO090614-2,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-09T11:46:52Z
70,O,20/06/2014,-23.83148703,-56.295487,201.01181,2014-06-20T15:00:43Z,,,MO200614,141530,141530,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-20T15:00:43Z
71,O,20/06/2014,-23.83148703,-56.295487,201.01181,2014-06-20T15:00:41Z,,,MO200614-2,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-06-20T15:00:41Z
9,O,08/07/2014,-23.83207602,-56.29599804,87.376221,2014-07-08T11:38:46Z,,,MO080714,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-08T11:38:46Z
10,O,08/07/2014,-23.83199003,-56.29593099,90.441315,2014-07-08T11:26:58Z,,,MO080714-2,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-08T11:26:58Z
37,O,16/07/2014,-23.82858404,-56.29556201,163.994827,2014-07-16T12:33:04Z,,,MO160714,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T12:33:04Z
38,O,16/07/2014,-23.829512,-56.29471603,163.036407,2014-07-16T12:16:18Z,,,MO160714-2,CAUGHT UP,CAUGHT UP,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T12:16:18Z
39,O,16/07/2014,-23.829727,-56.29502004,161.955688,2014-07-16T12:11:03Z,,,MO160714-3,ALARM,ALARM,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T12:11:03Z
40,O,16/07/2014,-23.83008197,-56.294783,164.422379,2014-07-16T11:54:33Z,,,MO160714-4,SIGHTING,SIGHTING,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T11:54:33Z
41,O,16/07/2014,-23.83071799,-56.294036,166.212463,2014-07-16T11:30:14Z,,,MO160714-5,CAUGHT UP AGAIN,CAUGHT UP AGAIN,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T11:30:14Z
42,O,16/07/2014,-23.83174603,-56.294611,165.184601,2014-07-16T11:21:32Z,,,MO160714-6,CRASH,CRASH,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T11:21:32Z
43,O,16/07/2014,-23.83224702,-56.29411203,160.956894,2014-07-16T13:21:19Z,,,MO160714-7,FIRST SIGHT,FIRST SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-16T13:21:19Z
47,O,17/07/2014,-23.83055496,-56.29536697,201.616165,2014-07-17T21:08:04Z,,,MO170714,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-17T21:08:04Z
48,O,17/07/2014,-23.83066602,-56.29575203,200.911407,2014-07-17T21:05:04Z,,,MO170714-2,CRASH,CRASH,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-17T21:05:04Z
49,O,17/07/2014,-23.83226998,-56.29412896,204.541962,2014-07-17T20:07:15Z,,,MO170714-3,WHISTLE,WHISTLE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-17T20:07:15Z
368,O,18/07/2014,-23.82751803,-56.29560904,178.024323,2014-07-18T12:58:54Z,,,MO180720141,NADA,NADA,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-18T12:58:54Z
